LONGITUDE,LATITUDE,SRCE_CNTRE,DEP_NAME,COMMODS,SIZE_VAL,GEOL_PROV,O_STRAT_NM,H_STRAT_NM
139.8135102,-32.3716785,workings,WESTWARD HO,Gold,Locally Significant,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Enorama Shale
139.8345572,-32.3715595,shaft,EUDUNDA HOPE,Gold,Locally Significant,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Enorama Shale
139.8663092,-32.3739235,shaft?,TROJAN,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Enorama Shale
139.8237122,-32.3307755,white patch,STARLIGHT DAM NORTH,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Tarcowie Siltstone
139.8924762,-32.2843975,SHAFT,MORIALPA EAST,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Tapley Hill Formation
136.1107257,-34.2692484,,BURRAWING,"Copper, Gold",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Lower Middleback Jaspilite,Lower Middleback Jaspilite
139.8229672,-32.2733085,trench,BUMBUMBIE HILL,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Wilyerpa Formation
140.5652151,-32.2650545,,LUXEMBURG,Gold,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),quartz vein,Willyama Supergroup
140.5662621,-32.2682155,,QUEEN BEE,"Copper, Gold",Locally Significant,WILLYAMA INLIERS (CURNAMONA PROVINCE),quartz vein,Willyama Supergroup
140.3289201,-32.5529615,workings,LURON,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Mintaro Shale
